order_id,customer_id,product_category,order_amount,order_date
1001,160,Electronics,191.99,2023-02-28
1002,227,Clothing,140.27,2022-11-28
1003,486,Books,326.58,2023-03-14
1004,269,Toys,254.67,2023-08-11
1005,120,Books,140.35,2022-06-23
1006,381,Toys,83.13,2023-07-13
1007,495,Books,72.33,2023-06-11
1008,89,Home,433.68,2023-10-21
1009,329,Home,129.3,2022-01-26
1010,68,Home,329.34,2023-08-28
1011,398,Electronics,407.24,2023-02-10
1012,357,Toys,310.9,2022-08-20
1013,98,Home,431.19,2023-06-17
1014,267,Electronics,202.27,2023-07-04
1015,105,Toys,478.55,2023-05-20
1016,440,Books,75.24,2023-10-31
1017,323,Electronics,60.05,2022-06-28
1018,123,Clothing,332.76,2022-05-12
1019,476,Electronics,471.99,2023-03-31
1020,29,Electronics,406.35,2022-12-14
1021,137,Toys,47.44,2023-06-24
1022,195,Books,146.89,2023-02-10
1023,409,Clothing,465.86,2022-03-17
1024,226,Home,134.0,2023-08-02
1025,332,Home,392.77,2023-05-07
1026,170,Electronics,414.31,2022-07-13
1027,9,Toys,252.77,2022-06-11
1028,463,Toys,199.31,2022-12-13
1029,40,Home,230.56,2022-12-27
1030,25,Clothing,121.21,2023-08-07
1031,261,Books,445.8,2022-03-28
1032,395,Clothing,230.8,2022-09-19
1033,443,Books,442.41,2022-08-02
1034,226,Home,61.79,2023-10-27
1035,472,Books,494.25,2023-12-23
1036,124,Toys,227.2,2023-07-27
1037,463,Electronics,33.44,2022-09-19
1038,38,Electronics,28.63,2023-12-31
1039,328,Home,375.64,2022-10-10
1040,251,Toys,332.93,2023-10-10
1041,389,Clothing,403.04,2023-04-12
1042,176,Toys,61.63,2023-01-15
1043,90,Electronics,27.43,2022-12-28
1044,402,Electronics,259.2,2023-03-25
1045,454,Toys,199.92,2023-03-17
1046,37,Toys,236.35,2022-04-03
1047,316,Electronics,495.88,2023-09-13
1048,176,Clothing,485.67,2023-02-28
1049,461,Home,471.73,2022-05-22
1050,284,Home,394.08,2022-10-18
1051,453,Toys,183.87,2023-03-08
1052,461,Home,211.94,2023-11-20
1053,81,Electronics,279.31,2023-10-15
1054,114,Electronics,416.96,2023-12-02
1055,40,Toys,43.67,2022-02-18
1056,301,Toys,217.91,2022-10-29
1057,224,Toys,50.48,2022-07-09
1058,318,Clothing,262.18,2022-05-16
1059,349,Home,450.46,2023-07-09
1060,115,Toys,393.42,2023-02-08
